epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.583,0.75059,0.86584,1.27757,0.99969,1,0.99498,0.88611,0.5371,0.39743,1.19116,0.00333167,0.00333167,0.00333167
2,647.244,0.61246,0.40643,1.14121,0.99987,0.99999,0.995,0.90012,0.44762,0.24279,1.0919,0.00650004,0.00650004,0.00650004
3,954.52,0.58604,0.36177,1.12175,0.99986,0.99987,0.995,0.91892,0.41792,0.25358,1.07624,0.00950342,0.00950342,0.00950342
4,1252.67,0.54799,0.33345,1.10229,0.99995,0.99987,0.995,0.9295,0.38976,0.23111,1.03549,0.0092575,0.0092575,0.0092575
5,1551.55,0.50227,0.3004,1.07643,0.9996,0.99987,0.99499,0.94967,0.35372,0.19832,1.00589,0.00901,0.00901,0.00901
6,1850.67,0.47401,0.28077,1.06064,0.99999,1,0.995,0.9505,0.33824,0.19132,0.98517,0.0087625,0.0087625,0.0087625
7,2148.4,0.45505,0.26609,1.05115,0.99997,1,0.995,0.95703,0.32279,0.1798,0.97046,0.008515,0.008515,0.008515
8,2446.72,0.44242,0.25601,1.0442,0.99999,1,0.995,0.95699,0.33384,0.18178,0.97971,0.0082675,0.0082675,0.0082675
9,2744.8,0.43067,0.24782,1.03829,0.99995,1,0.995,0.96506,0.31686,0.16545,0.96365,0.00802,0.00802,0.00802
10,3043.4,0.4217,0.24153,1.03247,0.99999,1,0.995,0.96513,0.30846,0.16498,0.95951,0.0077725,0.0077725,0.0077725
11,3341.96,0.41689,0.23828,1.03177,0.99999,1,0.995,0.96236,0.30762,0.15812,0.95756,0.007525,0.007525,0.007525
12,3639.91,0.40823,0.23383,1.02849,0.99999,1,0.995,0.96835,0.29394,0.15273,0.94753,0.0072775,0.0072775,0.0072775
13,3938.18,0.40161,0.22739,1.02549,0.99999,1,0.995,0.96672,0.29798,0.15399,0.95881,0.00703,0.00703,0.00703
14,4236.37,0.40073,0.22617,1.02659,0.99999,1,0.995,0.96521,0.29332,0.15752,0.95219,0.0067825,0.0067825,0.0067825
15,4535.46,0.39278,0.22333,1.02162,0.99999,1,0.995,0.96973,0.28887,0.14695,0.94555,0.006535,0.006535,0.006535
16,4833.61,0.38799,0.21894,1.02037,0.99999,1,0.995,0.96534,0.29371,0.14834,0.94874,0.0062875,0.0062875,0.0062875
17,5131.53,0.38183,0.21547,1.01683,0.99999,1,0.995,0.96986,0.28161,0.13854,0.94348,0.00604,0.00604,0.00604
18,5430.57,0.37991,0.21271,1.01651,0.99999,1,0.995,0.97018,0.28326,0.1408,0.94329,0.0057925,0.0057925,0.0057925
19,5728.5,0.37394,0.21025,1.01569,0.99999,1,0.995,0.97143,0.28725,0.14512,0.94039,0.005545,0.005545,0.005545
20,6026.9,0.37197,0.20826,1.014,0.99999,1,0.995,0.97138,0.28145,0.14117,0.93887,0.0052975,0.0052975,0.0052975
21,6326.24,0.36981,0.20606,1.01335,0.99999,1,0.995,0.97165,0.28135,0.14217,0.93694,0.00505,0.00505,0.00505
22,6624.93,0.36582,0.20547,1.01315,0.99999,1,0.995,0.97252,0.27721,0.14076,0.93876,0.0048025,0.0048025,0.0048025
23,6924.18,0.36326,0.20417,1.01121,0.99999,1,0.995,0.97205,0.27792,0.14131,0.9376,0.004555,0.004555,0.004555
24,7223.26,0.36019,0.20148,1.00924,0.99999,1,0.995,0.97359,0.2781,0.1399,0.93656,0.0043075,0.0043075,0.0043075
25,7521.22,0.35432,0.19741,1.00733,0.99999,1,0.995,0.97305,0.27712,0.13975,0.9381,0.00406,0.00406,0.00406
26,316.428,0.35462,0.1945,1.0097,1,1,0.995,0.97276,0.27665,0.14225,0.939,0.0038125,0.0038125,0.0038125
27,628.295,0.35049,0.19453,1.0063,1,1,0.995,0.9738,0.27554,0.14093,0.93848,0.003565,0.003565,0.003565
28,935.209,0.34639,0.19191,1.0048,1,1,0.995,0.97314,0.27365,0.139,0.93785,0.0033175,0.0033175,0.0033175
29,1242.57,0.34312,0.19011,1.00386,1,1,0.995,0.97364,0.27245,0.1376,0.93739,0.00307,0.00307,0.00307
30,294.152,0.33507,0.18301,1.00175,0.99999,1,0.995,0.97313,0.27248,0.13791,0.93719,0.0028225,0.0028225,0.0028225
31,942.238,0.40532,0.18418,1.13549,1,1,0.995,0.97354,0.27076,0.13633,0.93589,0.002575,0.002575,0.002575
30,642.923,0.33507,0.18301,1.00175,0.99999,1,0.995,0.97313,0.27248,0.13791,0.93719,0.0028225,0.0028225,0.0028225
32,1563.19,0.39842,0.17749,1.12647,1,1,0.995,0.97426,0.26981,0.13526,0.93482,0.0023275,0.0023275,0.0023275
31,1305.85,0.40532,0.18418,1.13549,1,1,0.995,0.97354,0.27076,0.13633,0.93589,0.002575,0.002575,0.002575
33,2221.07,0.39143,0.1728,1.11959,0.99999,1,0.995,0.97404,0.26906,0.134,0.93415,0.00208,0.00208,0.00208
32,1963.09,0.39842,0.17749,1.12647,1,1,0.995,0.97426,0.26981,0.13526,0.93482,0.0023275,0.0023275,0.0023275
34,2877.19,0.3849,0.16876,1.11409,0.99999,1,0.995,0.97448,0.26812,0.13325,0.93378,0.0018325,0.0018325,0.0018325
33,2617.98,0.39143,0.1728,1.11959,0.99999,1,0.995,0.97404,0.26906,0.134,0.93415,0.00208,0.00208,0.00208
35,3542.88,0.38186,0.16598,1.11131,0.99999,1,0.995,0.97449,0.26723,0.13245,0.93361,0.001585,0.001585,0.001585
34,3279.29,0.3849,0.16876,1.11409,0.99999,1,0.995,0.97448,0.26812,0.13325,0.93378,0.0018325,0.0018325,0.0018325
36,4200.53,0.3763,0.16166,1.10603,0.99999,1,0.995,0.97468,0.26643,0.13155,0.93333,0.0013375,0.0013375,0.0013375
35,3936.77,0.38186,0.16598,1.11131,0.99999,1,0.995,0.97449,0.26723,0.13245,0.93361,0.001585,0.001585,0.001585
37,4852.57,0.37261,0.15921,1.10458,0.99999,1,0.995,0.975,0.26581,0.13102,0.93318,0.00109,0.00109,0.00109
36,4586.34,0.3763,0.16166,1.10603,0.99999,1,0.995,0.97468,0.26643,0.13155,0.93333,0.0013375,0.0013375,0.0013375
38,5501.97,0.36814,0.15695,1.09992,0.99999,1,0.995,0.97477,0.26522,0.13049,0.93294,0.0008425,0.0008425,0.0008425
37,5232.97,0.37261,0.15921,1.10458,0.99999,1,0.995,0.975,0.26581,0.13102,0.93318,0.00109,0.00109,0.00109
39,6154.24,0.36288,0.15413,1.09517,0.99999,1,0.995,0.97535,0.26457,0.13007,0.93258,0.000595,0.000595,0.000595
38,5882.5,0.36814,0.15695,1.09992,0.99999,1,0.995,0.97477,0.26522,0.13049,0.93294,0.0008425,0.0008425,0.0008425
40,6805.02,0.36029,0.15198,1.09577,0.99999,1,0.995,0.97574,0.26409,0.12967,0.93224,0.0003475,0.0003475,0.0003475
39,6507.05,0.36288,0.15413,1.09517,0.99999,1,0.995,0.97535,0.26457,0.13007,0.93258,0.000595,0.000595,0.000595
40,6820.81,0.36029,0.15198,1.09577,0.99999,1,0.995,0.97574,0.26409,0.12967,0.93224,0.0003475,0.0003475,0.0003475
